num,id1,id2,true_ans,predicted
0,28776,28670,"tensor([1.], device='cuda:0')","tensor([0.], device='cuda:0')"
1,27461,8294,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
2,27434,39977,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
3,3680,28713,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
4,26232,3776,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
5,45004,3855,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
6,49698,8384,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
7,38817,27183,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
8,3811,34645,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
9,29882,26350,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
10,28759,49608,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
11,38602,9759,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
12,3854,28913,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
13,29793,38949,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
14,9511,9346,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
15,3719,3943,"tensor([1.], device='cuda:0')","tensor([0.], device='cuda:0')"
16,8341,28758,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
17,49652,49864,"tensor([1.], device='cuda:0')","tensor([0.], device='cuda:0')"
18,38823,39508,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
19,16675,29668,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
20,27084,16801,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
21,39604,28979,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
22,3852,49691,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
23,45310,8287,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
24,49558,12862,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
25,39933,27125,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
26,29671,8102,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
27,8083,27078,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
28,34604,49523,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
29,34892,16913,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
30,28602,3862,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
31,9979,9620,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
32,34824,27171,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
33,27164,26401,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
34,8289,3821,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
35,45293,12610,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
36,34550,16924,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
37,34785,9564,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
38,9294,26328,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
39,29730,29926,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
40,3560,3509,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
41,49941,49595,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
42,9293,49791,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
43,26435,49563,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
44,49551,27033,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
45,38798,34705,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
46,12550,26257,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
47,39594,28660,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
48,12518,27222,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
49,38956,38513,"tensor([1.], device='cuda:0')","tensor([0.], device='cuda:0')"
50,49528,45477,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
51,3977,26121,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
52,39542,26357,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
53,39967,9367,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
54,16983,34632,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
55,3588,38740,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
56,27067,27227,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
57,12592,27494,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
58,9936,3599,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
59,34867,29855,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
60,8420,34503,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
61,12995,38858,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
62,28894,28579,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
63,9717,38924,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
64,28700,49776,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
65,34799,29841,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
66,39661,45192,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
67,45115,9283,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
68,9823,38713,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
69,16946,45286,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
70,34988,12661,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
71,45429,39829,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
72,8299,9964,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
73,49634,45024,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
74,28838,45295,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
75,9322,9812,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
76,12589,12863,"tensor([1.], device='cuda:0')","tensor([1.], device='cuda:0')"
77,38881,8365,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
78,27137,49922,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
79,34749,38895,"tensor([0.], device='cuda:0')","tensor([0.], device='cuda:0')"
